"id","age","Medu","Fedu","traveltime","studytime","failures","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3"
"1",15,1,1,2,4,1,3,1,2,1,1,1,2,7,10,10
"2",15,1,1,1,2,2,3,3,4,2,4,5,2,8,6,5
"3",15,2,2,1,1,0,4,3,1,1,1,2,8,14,13,13
"4",15,2,4,1,3,0,4,3,2,1,1,5,2,10,9,8
"5",15,3,3,2,3,2,4,2,1,2,3,3,8,10,10,10
"6",15,3,4,1,3,0,4,3,2,1,1,5,2,12,12,11
"7",15,3,4,2,3,2,4,2,2,2,2,5,0,12,0,0
"8",15,2,2,2,2,0,4,1,3,1,3,4,2,8,9,8
"9",15,3,1,2,4,0,4,4,2,2,3,3,12,16,16,16
"10",15,3,3,1,4,0,4,3,3,1,1,4,10,10,11,11
"11",15,4,3,1,2,0,4,3,2,1,1,1,0,14,15,15
"12",15,1,1,3,1,0,4,3,3,1,2,4,0,8,0,0
"13",15,1,1,1,2,0,4,3,2,2,3,4,2,9,10,10
"14",15,1,1,1,2,0,4,4,2,1,2,5,0,8,11,11
"15",15,1,2,1,2,0,4,3,2,1,1,5,2,10,11,11
"16",15,1,2,1,2,0,3,2,3,1,2,1,2,16,15,15
"17",15,2,1,3,3,0,5,2,2,1,1,4,4,10,12,12
"18",15,2,2,1,4,0,5,1,2,1,1,3,8,7,8,8
"19",15,2,3,2,1,0,3,5,1,1,1,5,0,8,7,6
"20",15,3,2,1,2,3,3,3,2,1,1,3,0,6,7,0
"21",15,3,2,2,2,0,4,3,5,1,1,2,26,7,6,6
"22",15,4,2,1,3,0,3,2,2,1,1,5,2,15,14,15
"23",15,4,2,1,3,0,5,3,3,1,3,1,4,13,14,14
"24",15,4,3,1,1,0,4,5,5,1,3,1,4,16,17,18
"25",15,4,4,1,3,0,4,3,3,1,1,5,0,11,0,0
"26",15,4,4,1,1,0,3,3,4,2,3,5,0,8,10,11
"27",15,4,4,2,2,2,4,4,4,2,3,5,6,7,9,8
"28",15,4,4,1,2,1,4,4,4,1,1,3,2,7,7,7
"29",15,4,4,1,2,0,3,3,3,1,2,2,0,10,8,9
"30",15,4,4,1,3,0,4,2,2,1,1,5,2,9,11,11
"31",15,4,4,2,1,0,4,3,2,1,1,5,0,16,16,15
"32",15,3,3,1,1,0,5,3,4,4,4,1,6,10,13,13
"33",15,3,4,1,2,0,5,3,2,1,1,1,0,7,10,11
"34",15,4,3,1,2,0,5,2,2,1,1,5,8,8,8,6
"35",15,1,1,1,2,3,4,3,2,2,3,3,10,7,8,10
"36",15,3,2,1,2,0,4,4,4,1,1,5,10,7,6,6
"37",15,4,2,1,2,0,4,3,3,1,1,5,2,11,13,13
"38",15,4,3,1,2,0,4,4,4,2,4,2,0,10,10,10
"39",16,2,2,2,4,0,5,3,5,1,1,5,6,10,10,11
"40",16,3,3,1,3,1,4,1,2,1,1,2,0,7,10,10
"41",16,4,4,1,2,0,2,4,4,2,3,4,6,10,11,11
"42",16,2,1,1,2,0,5,3,4,1,1,2,8,8,9,10
"43",16,2,2,1,2,0,3,3,4,1,1,4,0,12,13,14
"44",16,3,1,1,2,3,2,3,3,2,2,4,5,7,7,7
"45",16,3,3,2,1,2,4,3,2,1,1,5,0,4,0,0
"46",16,3,4,1,1,0,3,2,1,1,4,5,16,12,11,11
"47",16,1,1,2,1,0,4,3,2,1,4,5,6,9,9,10
"48",16,1,1,4,1,0,5,5,5,5,5,5,6,10,8,11
"49",16,1,3,1,2,3,4,3,5,1,1,3,0,8,7,0
"50",16,2,1,1,2,0,4,3,5,1,1,5,2,8,9,10
"51",16,2,1,1,1,0,4,5,2,1,1,5,20,13,12,12
"52",16,2,2,1,2,1,3,1,2,1,1,5,6,10,13,13
"53",16,2,2,1,2,0,5,1,5,1,1,4,0,6,7,0
"54",16,2,2,1,2,0,5,4,4,1,1,5,0,8,7,8
"55",16,2,2,1,4,0,5,2,3,1,3,3,0,11,11,11
"56",16,2,2,2,2,0,3,4,4,1,4,5,2,13,13,11
"57",16,2,2,1,1,2,1,2,2,1,3,5,14,6,9,8
"58",16,2,3,1,2,0,4,4,3,1,3,4,6,8,10,10
"59",16,2,3,1,2,0,4,3,3,1,1,2,10,11,12,13
"60",16,2,3,1,2,0,2,3,1,1,1,3,2,16,16,17
"61",16,3,1,1,4,0,4,3,3,1,2,5,4,7,7,6
"62",16,3,2,1,2,0,1,2,2,1,2,1,14,12,13,12
"63",16,3,3,1,2,0,4,3,2,1,2,5,4,6,10,10
"64",16,3,3,1,3,0,4,3,3,1,3,4,0,7,7,8
"65",16,3,3,3,2,0,5,3,2,1,1,4,4,8,10,10
"66",16,3,3,1,2,0,4,3,3,2,4,5,54,11,12,11
"67",16,3,4,1,2,0,2,4,3,1,2,3,12,5,5,5
"68",16,4,2,1,2,0,4,2,3,1,1,3,0,14,15,16
"69",16,4,2,1,2,0,4,2,3,1,1,5,2,15,16,16
"70",16,4,2,2,2,0,5,3,3,1,1,1,0,11,10,10
"71",16,4,3,1,2,0,4,3,5,1,5,2,2,16,16,16
"72",16,4,3,1,3,0,5,3,5,1,1,3,0,7,9,8
"73",16,4,3,1,3,0,3,4,4,2,4,4,2,10,9,9
"74",16,4,3,1,2,0,1,3,2,1,1,1,10,11,12,13
"75",16,4,4,1,2,0,4,4,2,1,1,3,0,14,14,14
"76",16,4,4,1,1,0,4,4,4,1,2,2,4,14,14,14
"77",16,4,4,1,1,0,5,3,4,1,2,1,6,11,14,14
"78",16,4,4,1,3,0,3,2,3,1,2,2,6,13,14,14
"79",16,4,4,1,3,0,5,3,2,1,1,5,0,13,13,14
"80",16,3,3,1,2,0,2,3,5,1,4,3,12,11,12,11
"81",16,1,1,1,1,0,3,4,4,3,3,1,2,14,14,13
"82",16,1,2,1,2,0,4,4,3,1,1,1,4,8,10,9
"83",16,2,2,1,2,0,4,3,4,1,2,2,4,8,7,6
"84",16,2,2,2,2,1,4,3,3,2,2,5,14,10,10,9
"85",16,2,2,2,2,1,3,3,3,1,2,3,25,7,10,11
"86",16,2,2,3,2,0,4,3,3,2,3,4,2,12,13,13
"87",16,2,4,2,2,0,4,2,2,1,2,5,2,13,13,13
"88",16,3,1,1,2,0,3,3,3,2,3,2,4,7,6,6
"89",16,3,3,2,2,0,4,4,5,1,1,4,4,10,11,9
"90",16,4,3,3,2,0,5,4,3,1,2,1,2,16,15,15
"91",16,4,4,1,3,0,5,4,5,1,1,4,4,14,15,16
"92",16,4,4,1,2,0,4,5,2,1,2,3,0,9,9,10
"93",17,3,2,1,2,0,4,3,3,2,3,2,4,9,10,10
"94",17,2,1,3,2,0,2,1,1,1,1,3,2,13,11,11
"95",17,2,1,2,2,0,4,2,5,1,2,5,2,6,6,6
"96",17,2,2,1,1,0,5,3,2,1,2,3,18,7,6,6
"97",17,2,4,1,3,0,4,4,3,1,1,5,7,12,14,14
"98",17,3,4,1,3,0,4,3,4,2,5,5,0,11,11,10
"99",17,4,3,2,3,0,4,4,2,1,1,4,6,7,7,7
"100",17,2,2,1,3,0,3,3,2,2,2,3,3,11,11,11
"101",17,3,1,2,4,0,3,1,2,1,1,3,6,18,18,18
"102",17,4,4,1,1,0,5,2,1,1,2,3,12,8,10,10
"103",17,2,1,2,3,0,3,2,3,1,2,3,10,12,10,12
"104",17,2,2,1,2,1,3,3,1,1,2,4,0,9,8,0
"105",17,3,3,1,2,0,3,3,3,1,3,3,6,8,7,9
"106",17,4,3,1,2,0,5,2,2,1,2,5,23,13,13,13
"107",17,4,4,2,2,0,4,1,4,1,1,1,6,6,5,6
"108",17,1,1,1,2,0,5,3,3,1,1,3,4,5,5,6
"109",17,1,1,1,3,1,4,3,4,1,1,5,0,6,5,0
"110",17,1,1,1,2,0,5,3,3,1,1,3,0,8,8,9
"111",17,1,1,1,2,0,4,4,4,1,3,1,4,9,9,10
"112",17,1,1,1,3,0,4,3,3,1,1,3,6,13,12,12
"113",17,2,2,1,3,0,4,3,3,1,1,4,4,9,10,10
"114",17,2,2,1,2,0,5,4,5,1,2,5,4,10,9,11
"115",17,2,2,1,2,0,4,2,2,1,1,3,12,11,9,9
"116",17,2,3,2,1,0,3,3,3,1,4,3,3,7,7,8
"117",17,2,4,2,2,0,4,3,3,1,1,1,2,10,10,10
"118",17,2,4,1,2,0,5,4,2,2,3,5,0,16,17,17
"119",17,3,1,1,3,0,3,4,3,2,3,5,1,12,14,15
"120",17,3,2,1,4,0,5,2,2,1,2,5,0,17,17,18
"121",17,3,2,1,2,0,5,3,4,1,3,3,10,16,15,15
"122",17,3,2,1,2,0,4,3,2,2,3,2,0,7,8,0
"123",17,3,3,1,3,0,3,2,3,1,1,4,4,10,9,9
"124",17,3,4,1,3,1,4,4,3,3,4,5,28,10,9,9
"125",17,3,4,1,3,0,4,4,5,1,3,5,16,16,15,15
"126",17,4,2,2,3,0,4,3,3,1,1,3,0,15,12,14
"127",17,4,3,1,3,0,4,4,3,1,3,4,0,13,15,15
"128",17,4,3,1,3,0,4,2,2,1,2,3,0,15,15,15
"129",17,4,3,1,2,2,3,4,5,2,4,1,22,6,6,4
"130",17,4,4,1,1,0,4,2,1,1,1,4,0,11,11,12
"131",17,4,4,2,1,1,4,2,4,2,3,2,24,18,18,18
"132",17,4,4,1,3,0,5,4,4,1,3,4,7,10,9,9
"133",17,4,4,1,3,0,5,4,4,1,3,4,7,10,9,9
"134",17,4,4,2,3,0,4,3,3,1,2,4,4,14,14,14
"135",17,0,2,2,3,0,3,3,3,2,3,2,0,16,15,15
"136",17,2,2,1,1,0,3,4,4,1,3,5,12,10,13,12
"137",17,2,2,2,2,0,4,4,4,2,3,5,6,12,12,12
"138",17,2,2,1,4,0,3,4,1,1,1,2,0,10,9,0
"139",17,2,4,1,2,0,4,3,2,1,1,5,0,14,15,15
"140",17,3,2,2,2,0,4,4,4,1,3,1,2,14,15,15
"141",17,3,3,1,2,0,5,3,3,2,3,1,56,9,9,8
"142",17,4,2,1,4,0,4,2,3,1,1,4,6,14,12,13
"143",17,4,3,1,2,0,3,2,3,1,2,3,14,13,13,14
"144",18,3,2,2,2,0,4,1,1,1,1,5,75,10,9,9
"145",18,1,1,3,1,3,5,2,5,1,5,4,6,9,8,10
"146",18,2,1,2,2,0,4,3,5,1,2,3,0,6,0,0
"147",18,2,2,2,4,0,4,4,4,1,1,4,0,10,9,0
"148",18,3,1,1,2,1,5,3,3,1,1,4,16,9,8,7
"149",18,4,4,2,2,0,4,3,4,2,2,4,8,12,10,11
"150",18,1,1,2,4,0,5,2,2,1,1,3,1,12,12,12
"151",18,4,4,2,2,0,4,3,4,1,1,3,6,5,6,6
"152",18,1,1,2,2,0,5,4,4,1,1,4,4,8,9,10
"153",18,1,1,2,2,0,5,4,4,1,1,4,4,8,9,10
"154",18,2,1,2,3,0,4,4,4,1,1,3,0,7,0,0
"155",18,2,1,2,2,0,5,3,3,1,2,1,0,8,8,0
"156",18,2,2,1,3,0,4,3,3,1,2,2,5,18,18,19
"157",18,2,2,1,3,0,4,3,3,1,1,3,0,9,10,0
"158",18,2,3,1,3,0,4,3,3,1,2,3,4,11,10,10
"159",18,2,3,1,4,0,4,5,5,1,3,2,4,15,14,14
"160",18,3,2,1,3,0,5,4,3,2,3,1,7,13,13,14
"161",18,3,3,1,2,0,5,3,4,1,1,4,0,7,0,0
"162",18,4,3,1,3,0,4,3,4,1,1,5,9,9,10,9
"163",18,4,3,1,4,0,4,3,3,1,1,3,0,14,13,14
"164",18,4,3,1,2,0,3,1,2,1,3,2,21,17,18,18
"165",18,4,4,1,2,1,2,4,4,1,1,4,15,9,8,8
"166",18,4,4,1,2,0,4,4,4,3,3,5,2,11,11,11
"167",18,4,4,1,2,0,4,2,4,1,1,4,14,12,10,11
"168",18,1,1,2,2,0,4,4,3,1,1,3,2,11,11,11
"169",18,2,2,1,2,0,4,3,3,1,1,2,0,8,8,0
"170",18,3,3,1,4,0,5,3,3,1,1,1,7,16,15,17
"171",18,4,3,2,2,0,4,4,5,1,2,2,10,10,8,8
"172",19,0,1,1,2,3,3,4,2,1,1,5,2,7,8,9
"173",19,3,3,1,4,0,4,3,3,1,2,3,10,8,8,8
"174",19,3,3,1,2,2,4,3,5,3,3,5,15,9,9,9
"175",19,4,4,2,2,0,2,3,4,2,3,2,0,10,9,0
"176",15,2,1,1,2,0,5,4,2,1,1,5,8,9,9,9
"177",15,2,3,1,2,0,4,4,4,1,1,1,2,11,8,8
"178",15,3,4,4,2,0,5,3,3,1,1,5,0,9,0,0
"179",15,4,3,1,2,0,4,5,2,1,1,5,0,17,16,16
"180",15,4,4,4,4,0,1,3,5,3,5,1,6,10,13,13
"181",15,2,2,1,3,0,4,5,2,1,1,3,0,14,16,16
"182",15,3,4,1,2,0,5,4,4,1,1,1,0,16,18,18
"183",15,4,4,1,4,0,1,3,3,5,5,3,4,13,13,12
"184",15,2,2,1,1,0,4,2,2,1,2,5,2,12,12,11
"185",15,2,2,1,1,0,5,4,1,1,1,1,0,8,8,11
"186",15,2,2,1,4,0,5,5,4,1,2,5,6,16,14,15
"187",15,2,3,1,3,0,5,3,2,1,2,5,4,11,10,11
"188",15,2,3,1,1,0,3,2,2,1,3,3,2,10,12,12
"189",15,3,4,1,2,0,5,5,1,1,1,5,0,14,15,15
"190",15,3,4,1,1,0,3,4,3,1,2,4,6,14,13,13
"191",15,3,4,1,1,0,5,5,5,3,2,5,0,13,13,12
"192",15,4,0,2,4,0,3,4,3,1,1,1,8,11,11,10
"193",15,4,2,1,1,0,2,2,4,2,4,1,4,15,16,15
"194",15,4,2,1,4,0,3,3,3,1,1,3,0,10,10,10
"195",15,4,2,1,2,0,4,3,3,2,2,5,2,15,15,14
"196",15,4,3,2,2,0,5,4,3,1,2,3,2,10,10,11
"197",15,4,3,1,2,0,4,3,3,2,3,5,6,9,9,10
"198",15,4,3,1,2,0,4,4,1,1,1,1,0,13,14,15
"199",15,4,3,2,4,0,2,2,2,1,1,3,0,7,9,0
"200",15,4,4,1,1,0,5,4,2,1,1,5,0,12,15,15
"201",15,4,4,1,2,0,5,4,2,3,4,5,0,9,11,12
"202",15,4,4,2,2,0,4,4,3,1,1,2,2,11,13,14
"203",15,4,4,1,1,0,5,3,3,1,1,5,4,10,13,14
"204",15,4,4,2,2,0,4,3,1,1,1,5,0,17,16,17
